datetime;consumption_reinforcement;consumption_concentrate;consumption_pellets;consumption_scrap;production_all_reinforcement;production_rus_reinforcement;production_all_concentrate;production_rus_concentrate;production_all_pellets;production_rus_pellets;production_all_coke;production_rus_coke;import_reinforcement;import_concentrate;import_pellets;import_scrap;import_coke;export_reinforcement;export_concentrate;export_pellets;export_coke;export_scrap;reinforcement_price_8 мм;reinforcement_price_10 мм;reinforcement_price_12 мм;reinforcement_price_14-16 мм;reinforcement_price_18-25 мм;exchange_rate_usd;reinforcement_price_8 мм_usd;reinforcement_price_10 мм_usd;reinforcement_price_12 мм_usd;reinforcement_price_14-16 мм_usd;reinforcement_price_18-25 мм_usd;reinforcement_price_lme_M1;reinforcement_price_lme_M6;reinforcement_price_lme_M15;scrap_price_lme_M1;scrap_price_lme_M6;scrap_price_lme_M15;Mean US Dollar Russian Ruble USD/RUB;Mean US Dollar Russian Ruble USD/RUB TOM;Mean Russian Ruble US Dollar RUB/USD;Mean Euro Russian Ruble EUR/RUB;Mean Russian Ruble Euro RUB/EUR;Mean Chinese Yuan Russian Ruble CNY/RUB;Mean Russian Ruble Chinese Yuan RUB/CNY;Mean Russian Ruble Turkish Lira RUB/TRY;Mean Turkish Lira Russian Ruble TRY/RUB;Mean Dow Jones Iron & Steel DJUSST NYSE;Volume Dow Jones Iron & Steel DJUSST NYSE;Mean Dow Jones Coal DJUSCL NYSE;Volume Dow Jones Coal DJUSCL NYSE;Mean NQ U.S. Benchmark Iron & Steel NQUSB1757 Global Indexes;Volume NQ U.S. Benchmark Iron & Steel NQUSB1757 Global Indexes;Mean NASDAQ US Mid Cap Iron and Steel NQUSM1757 Global Indexes;Volume NASDAQ US Mid Cap Iron and Steel NQUSM1757 Global Indexes;Mean NASDAQ US Small Cap Coal NQUSS1771 Global Indexes;Volume NASDAQ US Small Cap Coal NQUSS1771 Global Indexes;Mean NASDAQ US Benchmark Coal NQUSB1771 Global Indexes;Volume NASDAQ US Benchmark Coal NQUSB1771 Global Indexes;Mean Taiwan Steel TSTI Taiwan;Volume Taiwan Steel TSTI Taiwan;Mean FTSE/JSE Coal Mining JCOAL Johannesburg;Volume FTSE/JSE Coal Mining JCOAL Johannesburg;Mean Coal (ICI 4) Indonesian Coal Index Futures IICc1 CME;Volume Coal (ICI 4) Indonesian Coal Index Futures IICc1 CME;Mean ZCE Thermal Coal CZCc1 ZCE;Volume ZCE Thermal Coal CZCc1 ZCE;Mean STEEL HRC FOB CHINA Futures MHCc1 London;Volume STEEL HRC FOB CHINA Futures MHCc1 London;Mean Steel Rebar Futures SRRc1 London;Volume Steel Rebar Futures SRRc1 London;Mean Steel Scrap Futures SSCc1 London;Volume Steel Scrap Futures SSCc1 London;Mean US Midwest Domestic Hot-Rolled Coil Steel Futures HRCc1 CME;Volume US Midwest Domestic Hot-Rolled Coil Steel Futures HRCc1 CME;Mean Metallurgical Coke Futures DCJc1 DCE;Volume Metallurgical Coke Futures DCJc1 DCE;Mean Rotterdam Coal Futures ATWMc1 ICE;Volume Rotterdam Coal Futures ATWMc1 ICE;Mean Coal (API2) CIF ARA (ARGUS-McCloskey) Futures MTFc1 CME;Volume Coal (API2) CIF ARA (ARGUS-McCloskey) Futures MTFc1 CME;Mean Coal (API4) FOB Richards Bay (ARGUS-McCloskey) Futures FMFc1 CME;Volume Coal (API4) FOB Richards Bay (ARGUS-McCloskey) Futures FMFc1 CME;Mean Coal (API 5) fob Newcastle Futures MACc1 CME;Volume Coal (API 5) fob Newcastle Futures MACc1 CME;Mean Coking Coal Futures DJMc1 DCE;Volume Coking Coal Futures DJMc1 DCE;Mean Iron ore fines 62% Fe CFR Futures TIOc1 CME;Volume Iron ore fines 62% Fe CFR Futures TIOc1 CME;WPU101707;WPU101;WPU10170301;WPU101703;WPU101704;PCU3312213312211;WPU101705;PCU3312213312213;WPU101708;PCU331222331222;china_credit_impulse;ChinaHousingPriceYoY;ChinaShanghaiStockExchangeCompositeIndexR;shipment_reinforcement_sum;shipment_scrap_sum;prod_prices_reinf_imp_min;prod_prices_reinf_imp_median;prod_prices_reinf_imp_mean;prod_prices_reinf_imp_max;prod_prices_reinf_inn_min;prod_prices_reinf_inn_median;prod_prices_reinf_inn_mean;prod_prices_reinf_inn_max;prod_prices_scrap_inn_min;prod_prices_scrap_inn_median;prod_prices_scrap_inn_mean;prod_prices_scrap_inn_max
2018-01-01;482.19;8619.71;3473.257;871.738;969.2;510.3;14771.6;8467.1;6419.4;4127.4;3443.8;2314.0;82.85;415.0;160.0;25.757;7.123;110.9;262.4;814.143;208.743;358.34299999999996;;;;;;;;;;;;;;;;;;;;0.0173;;0.014450000000000001;8.85815;0.1129;0.06575;15.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;211.5;217.6;116.6;131.3;178.1;192.5;239.8;181.2;193.9;188.9;27.0000;5.0000;;399.34000000000003;845.7860000000001;543.0;543.0;543.0;543.0;30800.0;33790.0;34029.6;38116.0;251.0;12950.0;7898.71;15400.0
2018-01-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;559.0;536.5;525.0;367.0;342.5;320.0;;;0.0174;;0.014450000000000001;8.864650000000001;0.11305;0.06559999999999999;15.23;285.95500000000004;26780822.0;67.91;471523.0;1042.595;0.0;1357.31;0.0;44.019999999999996;0.0;107.805;0.0;104.305;181710995456.0;20320.36;805657.0;;;706.0;6852.0;;;559.0;0.0;367.0;0.0;660.0;10.0;2270.75;974.0;96.65;56.0;96.9;110.0;96.15;25.0;77.75;0.0;1299.25;54.0;73.9;105.0;;;;;;;;;;;;;3348.3300;;;;;;;;;;;;;;
2018-01-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;561.0;534.0;525.0;367.0;342.5;320.0;57.3688;;0.0174;69.00874999999999;0.014499999999999999;8.82935;0.11335;0.06575;15.2;293.01;29230452.0;66.27;526202.0;1068.19;0.0;1382.175;0.0;44.295;0.0;108.755;0.0;104.865;133729001472.0;20408.855;743714.0;;;694.0;9834.0;;;561.0;0.0;367.0;0.0;662.0;50.0;2238.0;322.0;97.5;71.0;96.6;55.0;96.2;15.0;79.0;0.0;1297.25;1324.0;73.43;0.0;;;;;;;;;;;;;3369.1100;;;;;;;;;;;;;;
2018-01-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;561.0;534.0;525.0;367.0;342.5;320.0;57.042249999999996;;0.0175;68.78;0.0146;8.7803;0.11385;0.06595000000000001;15.175;294.995;22796488.0;63.775;517545.0;1076.865;0.0;1401.645;0.0;44.11;0.0;107.955;0.0;105.19;139945000960.0;20724.895;410533.0;;;695.0;3094.0;;;561.0;0.0;367.0;160.0;662.0;10.0;2239.5;1886.0;96.0;99.0;96.1;75.0;96.75;85.0;79.9;0.0;1301.75;206.0;74.61;10.0;;;;;;;;;;;;;3385.7100;;;;;;;;;;;;;;
2018-01-05;;;;;;;;;;;;;;;;;;;;;;;37050.0;36550.0;35550.0;34900.0;34900.0;;;;;;;561.0;534.0;525.0;369.5;345.0;320.0;57.0013;;0.017550000000000003;68.67269999999999;0.01455;8.7776;0.11375;0.06570000000000001;15.215;295.405;22521744.0;61.75;577276.0;1079.71;0.0;1398.835;0.0;44.4;0.0;108.46000000000001;0.0;105.245;170644996096.0;20830.46;1087703.0;;;714.0;9120.0;;;561.0;0.0;369.5;315.0;662.0;0.0;2236.0;612.0;96.25;88.0;96.4;86.0;97.0;50.0;80.25;0.0;1310.0;0.0;75.39;10.0;;;;;;;;;;;;;3391.7500;;;;;;;;;;;;;;
2018-01-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.783249999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;564.0;534.0;525.0;372.0;345.0;320.0;;;0.017550000000000003;;0.01455;8.777149999999999;0.11380000000000001;0.06565;15.239999999999998;299.125;24763196.0;59.89;652802.0;1093.775;0.0;1415.715;0.0;44.67;0.0;108.42;0.0;106.77;222613995520.0;21111.735;759666.0;;;720.5;988.0;;;564.0;0.0;372.0;50.0;662.5;8.0;2185.0;306.0;96.65;115.0;96.4;90.0;97.4;85.0;80.8;0.0;1310.0;0.0;76.99;10.0;;;;;;;;;;;;;3409.4800;;;;;;;;;;;;;;
2018-01-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;567.0;534.0;525.0;372.0;345.0;320.0;57.0073;;0.017550000000000003;68.23075;0.014700000000000001;8.7395;0.1143;0.0659;15.175;298.065;23352412.0;61.120000000000005;356020.0;1086.665;0.0;1409.43;0.0;44.775000000000006;0.0;109.22;0.0;106.97;142829993984.0;21027.035;910132.0;;;697.0;0.0;;;567.0;0.0;372.0;785.0;663.0;0.0;2189.75;414.0;96.1;79.0;96.1;12.0;97.25;10.0;81.1;0.0;1315.0;8.0;77.62;30.0;;;;;;;;;;;;;3413.9000;;;;;;;;;;;;;;
2018-01-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.0463;;;;;;573.5;559.0;530.0;377.0;352.0;330.0;56.93485;;0.017550000000000003;68.1129;0.014700000000000001;8.738199999999999;0.1144;0.06655;15.04;298.22;21074048.0;59.445;267581.0;1087.605;0.0;1402.705;0.0;44.72;0.0;109.11;0.0;107.775;249789005824.0;21054.845;900384.0;;;697.0;0.0;;;573.5;45.0;377.0;560.0;664.5;74.0;2190.0;186.0;95.65;95.0;95.65;25.0;97.25;17.0;81.1;0.0;1300.0;412.0;77.4;0.0;;;;;;;;;;;;;3421.8300;;;;;;;;;;;;;;
